0.000654 0 1
0.001963 1.31406e-11 26
0.003272 4.4773e-11 66
0.004581 1.99696e-10 158
0.005890 2.3671e-10 234
0.007199 3.62845e-10 410
0.008508 3.50822e-10 500
0.009817 4.3176e-10 708
0.011126 4.51068e-10 866
0.012435 5.00614e-10 1170
0.013744 4.96093e-10 1358
0.015053 5.47668e-10 1626
0.016362 5.61369e-10 1970
0.017671 6.13786e-10 2396
0.018980 6.12014e-10 2524
0.020289 6.77945e-10 3058
0.021598 6.71187e-10 3306
0.022907 7.62557e-10 3926
0.024216 7.60514e-10 4242
0.025525 7.84651e-10 4826
0.026834 7.92677e-10 5294
0.028143 7.96427e-10 5730
0.029452 8.38592e-10 6410
0.030761 8.9637e-10 6942
0.032070 8.81683e-10 7370
0.033379 9.71806e-10 8330
0.034688 9.94992e-10 8754
0.035997 1.06367e-09 9740
0.037306 1.05158e-09 9828
0.038615 1.12032e-09 11178
0.039924 1.09649e-09 11342
0.041233 1.20736e-09 12770
0.042542 1.16787e-09 13106
0.043851 1.24386e-09 14250
0.045160 1.2528e-09 14894
0.046469 1.29151e-09 15858
0.047778 1.31481e-09 16706
0.049087 1.33218e-09 17550
0.050396 1.35808e-09 18626
0.051705 1.41511e-09 19682
0.053014 1.38685e-09 20414
0.054323 1.45381e-09 21786
0.055632 1.45622e-09 22578
0.056941 1.50867e-09 24050
0.058250 1.49928e-09 24846
0.059559 1.5215e-09 26114
0.060868 1.55353e-09 26738
0.062177 1.60102e-09 28494
0.063486 1.59891e-09 29426
0.064795 1.63282e-09 30978
0.066104 1.64295e-09 32034
0.067413 1.675e-09 33550
0.068722 1.69362e-09 34506
0.070031 1.71514e-09 36194
0.071340 1.71477e-09 36678
0.072649 1.77107e-09 39176
0.073958 1.75966e-09 39868
0.075267 1.77342e-09 41242
0.076576 1.81971e-09 43310
0.077885 1.81477e-09 44242
0.079194 1.86793e-09 46354
0.080503 1.84038e-09 47334
0.081812 1.87607e-09 48962
0.083121 1.8957e-09 51306
0.084430 1.86051e-09 51350
0.085739 1.93414e-09 54818
0.087048 1.89965e-09 54810
0.088357 1.94442e-09 57434
0.089666 1.97659e-09 59190
0.090975 1.97361e-09 60602
0.092284 1.96672e-09 62202
0.093593 1.99879e-09 64046
0.094902 2.00623e-09 65954
0.096211 2.04139e-09 68898
0.097520 2.01311e-09 69098
0.098829 2.05352e-09 72222
0.100138 2.01724e-09 73194
0.101447 2.05283e-09 75322
0.102756 2.06538e-09 77246
0.104065 2.06994e-09 79314
0.105374 2.07682e-09 81090
0.106683 2.09912e-09 83662
0.107992 2.10286e-09 86218
0.109301 2.10212e-09 87386
0.110610 2.07987e-09 89234
0.111919 2.14253e-09 92454
0.113228 2.09803e-09 93826
0.114537 2.11742e-09 96466
0.115846 2.08962e-09 97166
0.117155 2.16017e-09 101994
0.118464 2.14345e-09 102794
0.119773 2.14284e-09 105050
0.121082 2.14192e-09 107502
0.122391 2.13529e-09 109826
0.123700 2.15698e-09 111954
0.125009 2.13874e-09 114830
0.126318 2.1395e-09 116210
0.127627 2.16512e-09 120066
0.128936 2.14249e-09 122314
0.130245 2.14963e-09 124054
0.131554 2.13864e-09 126458
0.132863 2.16128e-09 130474
0.134172 2.14558e-09 131206
0.135481 2.15602e-09 135122
0.136790 2.12671e-09 137010
0.138099 2.13495e-09 140006
0.139408 2.11576e-09 142074
0.140717 2.12205e-09 146042
0.142026 2.0942e-09 146650
0.143335 2.12024e-09 151582
0.144644 2.08094e-09 152042
0.145953 2.11667e-09 157536
0.147262 2.10281e-09 158788
0.148571 2.09038e-09 162038
0.149880 2.08896e-09 164866
0.151189 2.08563e-09 167898
0.152498 2.05974e-09 170246
0.153807 2.06122e-09 173858
0.155116 2.05301e-09 176440
0.156425 2.02959e-09 178400
0.157734 2.03587e-09 182666
0.159043 2.02028e-09 185690
0.160352 2.00183e-09 188174
0.161661 2.00419e-09 192666
0.162970 1.9761e-09 194498
0.164279 1.97114e-09 199194
0.165588 1.91904e-09 198374
0.166897 1.9415e-09 205074
0.168206 1.92394e-09 206954
0.169515 1.89364e-09 211502
0.170824 1.87484e-09 213738
0.172133 1.87645e-09 217394
0.173442 1.8566e-09 221154
0.174751 1.83799e-09 225110
0.176060 1.79829e-09 225186
0.177369 1.81106e-09 231146
0.178678 1.78331e-09 234606
0.179987 1.75741e-09 237122
0.181296 1.73841e-09 241250
0.182605 1.71527e-09 243870
0.183914 1.69485e-09 248882
0.185223 1.6674e-09 251034
0.186532 1.64046e-09 254714
0.187841 1.63111e-09 259790
0.189150 1.58643e-09 261402
0.190459 1.58404e-09 267842
0.191768 1.54035e-09 268374
0.193077 1.53818e-09 274250
0.194386 1.49192e-09 276914
0.195695 1.4842e-09 281874
0.197004 1.43966e-09 282734
0.198313 1.4252e-09 288762
0.199622 1.37635e-09 291098
0.200931 1.38197e-09 298390
0.202240 1.33279e-09 299170
0.203549 1.3081e-09 303650
0.204858 1.27679e-09 306906
0.206167 1.2558e-09 311782
0.207476 1.23259e-09 316234
0.208785 1.19912e-09 319682
0.210094 1.16659e-09 322350
0.211403 1.14532e-09 329354
0.212712 1.11882e-09 332114
0.214021 1.08421e-09 335438
0.215330 1.06422e-09 340506
0.216639 1.03209e-09 344514
0.217948 9.97064e-10 347330
0.219257 9.75372e-10 353238
0.220566 9.43636e-10 355106
0.221875 9.20629e-10 362570
0.223184 8.90656e-10 365118
0.224493 8.7016e-10 369962
0.225802 8.38803e-10 373554
0.227111 8.1402e-10 378154
