0.000654 1.12025e-13 1
0.001963 1.10904e-05 26
0.003272 8.71756e-06 66
0.004581 1.8209e-05 158
0.005890 1.37316e-05 234
0.007199 1.56768e-05 410
0.008508 1.41387e-05 500
0.009817 1.37112e-05 708
0.011126 1.14987e-05 866
0.012435 9.85346e-06 1170
0.013744 8.26377e-06 1358
0.015053 7.37821e-06 1626
0.016362 6.58164e-06 1970
0.017671 5.85941e-06 2396
0.018980 4.93738e-06 2524
0.020289 5.04443e-06 3058
0.021598 4.32526e-06 3306
0.022907 4.34687e-06 3926
0.024216 3.7614e-06 4242
0.025525 3.54881e-06 4826
0.026834 3.30773e-06 5294
0.028143 3.01033e-06 5730
0.029452 2.84714e-06 6410
0.030761 2.80832e-06 6942
0.032070 2.53509e-06 7370
0.033379 2.61403e-06 8330
0.034688 2.46243e-06 8754
0.035997 2.44253e-06 9740
0.037306 2.21867e-06 9828
0.038615 2.27109e-06 11178
0.039924 2.08552e-06 11342
0.041233 2.1112e-06 12770
0.042542 1.98023e-06 13106
0.043851 1.9779e-06 14250
0.045160 1.84998e-06 14894
0.046469 1.79748e-06 15858
0.047778 1.74754e-06 16706
0.049087 1.68821e-06 17550
0.050396 1.64558e-06 18626
0.051705 1.59238e-06 19682
0.053014 1.52192e-06 20414
0.054323 1.51552e-06 21786
0.055632 1.43765e-06 22578
0.056941 1.42954e-06 24050
0.058250 1.37318e-06 24846
0.059559 1.33191e-06 26114
0.060868 1.29298e-06 26738
0.062177 1.27643e-06 28494
0.063486 1.22669e-06 29426
0.064795 1.21253e-06 30978
0.066104 1.17097e-06 32034
0.067413 1.15919e-06 33550
0.068722 1.12139e-06 34506
0.070031 1.10155e-06 36194
0.071340 1.0603e-06 36678
0.072649 1.06021e-06 39176
0.073958 1.02104e-06 39868
0.075267 9.9244e-07 41242
0.076576 9.79936e-07 43310
0.077885 9.53338e-07 44242
0.079194 9.49111e-07 46354
0.080503 9.20588e-07 47334
0.081812 9.1293e-07 48962
0.083121 9.00309e-07 51306
0.084430 8.45565e-07 51350
0.085739 8.61805e-07 54818
0.087048 8.20117e-07 54810
0.088357 8.12167e-07 57434
